"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"0.HMGA1"	9.79259772505053e-86	0.789221274063959	0.84	0.532	1.66718976268985e-81	"0"	"HMGA1"
"0.HMGN2"	1.57701265713648e-71	0.585416838422486	0.961	0.816	2.68486404877486e-67	"0"	"HMGN2"
"0.FST"	5.79558488396287e-69	0.876944382944004	0.365	0.095	9.86698326494679e-65	"0"	"FST"
"0.VIM"	9.48111731756335e-68	0.584459880878427	0.963	0.735	1.61416022331516e-63	"0"	"VIM"
"0.TTYH1"	1.52858854377007e-67	0.650307826459597	0.691	0.326	2.60242199576855e-63	"0"	"TTYH1"
"0.TUBA1B"	2.5698217300105e-64	0.558917278640799	0.963	0.872	4.37512149534288e-60	"0"	"TUBA1B"
"0.KIAA0101"	6.553182693816e-60	0.770609955556964	0.585	0.279	1.11567935362217e-55	"0"	"KIAA0101"
"0.CENPV"	1.00250812374618e-58	0.600819717233935	0.828	0.617	1.70677008067787e-54	"0"	"CENPV"
"1.DAPL1"	7.44536819440757e-306	1.75016749993039	0.801	0.089	1.26757393509789e-301	"1"	"DAPL1"
"1.RAX"	2.69309947416659e-239	1.16137563629812	0.663	0.065	4.58500185476862e-235	"1"	"RAX"
"1.RORB"	1.57894892236895e-231	1.41750879245001	0.745	0.108	2.68816054033314e-227	"1"	"RORB"
"1.VSX2"	2.85245153190471e-209	0.760594217365953	0.389	0.008	4.85629873306777e-205	"1"	"VSX2"
"1.SPP1"	3.88300702203619e-190	1.16746392386337	0.464	0.033	6.61081945501661e-186	"1"	"SPP1"
"1.MGARP"	3.23962360898803e-170	0.939142106035718	0.482	0.046	5.51545919430213e-166	"1"	"MGARP"
"1.SIX6"	1.04089536547656e-166	0.949963179959156	0.605	0.089	1.77212435972384e-162	"1"	"SIX6"
"1.SFRP2"	4.52990275462228e-158	1.52901055826283	0.706	0.167	7.71215943974443e-154	"1"	"SFRP2"
"2.TAGLN3"	7.18506781278705e-131	1.34069774545571	0.873	0.367	1.22325779512699e-126	"2"	"TAGLN3"
"2.NHLH1"	4.73831399587059e-123	1.46988470915205	0.527	0.105	8.06697957796969e-119	"2"	"NHLH1"
"2.SOX4"	3.23826479846999e-121	1.02067128534958	0.989	0.876	5.51314581939516e-117	"2"	"SOX4"
"2.BASP1"	4.47560696400943e-99	0.897671191189283	0.962	0.727	7.61972085622606e-95	"2"	"BASP1"
"2.MLLT11"	1.64662999757614e-98	0.89160199905777	0.955	0.615	2.80338757087337e-94	"2"	"MLLT11"
"2.LAMP5"	2.94370689206323e-95	1.55695428891359	0.339	0.047	5.01166098373765e-91	"2"	"LAMP5"
"2.NHLH2"	5.11003884425011e-95	1.07306342627426	0.484	0.11	8.69984113233582e-91	"2"	"NHLH2"
"2.TUBB2B"	1.94195663857668e-93	0.783616263787021	0.993	0.898	3.3061811771768e-89	"2"	"TUBB2B"
"3.RTN11"	9.53257687468467e-198	1.57536448419056	0.957	0.302	1.62292121291506e-193	"3"	"RTN1"
"3.MAPT"	1.72759575553933e-145	1.21864987581704	0.621	0.118	2.94123177380572e-141	"3"	"MAPT"
"3.STMN21"	4.00919302747731e-143	1.25918171896423	0.962	0.376	6.82565112928012e-139	"3"	"STMN2"
"3.NSG21"	1.00707390418854e-141	1.36922761053347	0.682	0.154	1.71454332188098e-137	"3"	"NSG2"
"3.TUBB2B1"	7.56899439930583e-125	0.99116406113222	0.995	0.899	1.28862129648182e-120	"3"	"TUBB2B"
"3.STMN41"	1.16267349817782e-121	1.30515484395021	0.785	0.255	1.97945163064774e-117	"3"	"STMN4"
"3.NNAT"	2.98535836605443e-120	1.66710994894588	0.952	0.703	5.08257261820767e-116	"3"	"NNAT"
"3.MLLT111"	6.21838554080264e-109	0.996332773632804	0.97	0.619	1.05868013832165e-104	"3"	"MLLT11"
"4.PRPH"	1.54770239516092e-244	2.05684157953988	0.539	0.024	2.63496332776146e-240	"4"	"PRPH"
"4.SNCG"	2.49350480029882e-237	2.47004257073202	0.765	0.101	4.24519192250874e-233	"4"	"SNCG"
"4.ISL1"	1.61384280485865e-226	1.35463090358561	0.558	0.032	2.74756737527185e-222	"4"	"ISL1"
"4.SLC18A2"	1.22842694936233e-204	1.17237634260656	0.442	0.017	2.09139688128937e-200	"4"	"SLC18A2"
"4.POU4F2"	1.91265113347723e-187	1.08739408568718	0.401	0.015	3.25628855474498e-183	"4"	"POU4F2"
"4.CHRNA3"	8.29888791066107e-170	1.15562790326342	0.48	0.037	1.41288566679005e-165	"4"	"CHRNA3"
"4.CNTN2"	4.44600946437743e-160	1.40072347501471	0.511	0.05	7.56933111310257e-156	"4"	"CNTN2"
"4.ATOH71"	1.94599086256136e-149	1.77882377051914	0.545	0.067	3.31304944351071e-145	"4"	"ATOH7"
"5.PLK1"	2.09960373528996e-222	1.3508262786087	0.673	0.061	3.57457535933116e-218	"5"	"PLK1"
"5.CDC20"	1.61780740888867e-210	1.54175777156782	0.783	0.108	2.75431711363296e-206	"5"	"CDC20"
"5.CCNB1"	2.04853115474456e-204	1.67461049609838	0.783	0.119	3.48762429095262e-200	"5"	"CCNB1"
"5.UBE2C"	1.13748257299571e-183	2.00998948422657	0.897	0.219	1.9365640805252e-179	"5"	"UBE2C"
"5.CENPF"	3.85696489438343e-183	1.68207084320911	0.943	0.248	6.56648273268778e-179	"5"	"CENPF"
"5.PTTG1"	5.07737518621507e-180	1.68404736360381	0.95	0.274	8.64423125453115e-176	"5"	"PTTG1"
"5.TOP2A1"	1.40168834479968e-170	1.52447941466591	0.9	0.217	2.38637440702145e-166	"5"	"TOP2A"
"5.CCNB2"	3.86389367960755e-168	1.41304539401074	0.783	0.147	6.57827898953185e-164	"5"	"CCNB2"
"6.SPARCL1"	9.27960180641871e-73	1.38545696091726	0.437	0.088	1.57985220754278e-68	"6"	"SPARCL1"
"6.SPARC"	1.21997249830816e-51	0.929203818996853	0.614	0.254	2.07700317836964e-47	"6"	"SPARC"
"6.BCAN"	2.87482574354532e-49	0.782889509076509	0.15	0.012	4.89439082838591e-45	"6"	"BCAN"
"6.VIM1"	4.01835528415908e-49	0.772994625910643	0.98	0.761	6.84124987128084e-45	"6"	"VIM"
"6.WLS"	1.3611426686801e-41	0.758768115791263	0.341	0.087	2.31734539342787e-37	"6"	"WLS"
"6.IGFBP5"	1.42663073025009e-40	1.02042076466685	0.444	0.15	2.42883881825077e-36	"6"	"IGFBP5"
"6.LGALS11"	1.69196658535256e-38	1.38068949589034	0.543	0.246	2.88057311156273e-34	"6"	"LGALS1"
"6.CALD1"	3.10146509561042e-37	0.784470103725672	0.666	0.361	5.28024432527674e-33	"6"	"CALD1"
"7.BST2"	1.60415149385951e-226	1.8281775291234	0.623	0.033	2.73106791829582e-222	"7"	"BST2"
"7.WT1"	1.63780499108583e-203	0.817146206351017	0.347	0.003	2.78836299732363e-199	"7"	"WT1"
"7.HOXA10"	7.84138575570952e-154	1.09237713742393	0.583	0.048	1.33499592490955e-149	"7"	"HOXA10"
"7.SIX2"	8.32166592107999e-131	0.601611676566716	0.231	0.002	1.41676362306387e-126	"7"	"SIX2"
"7.TMEM100"	4.7273954724733e-121	0.820295541978017	0.271	0.008	8.04839079188579e-117	"7"	"TMEM100"
